date,settlement_date,action,fund_name,isin,symbol,quantity,price,amount,broker,portfolio_reference,raw_line
2023-11-06,2023-11-08,BUY,iShares MSCI World Small Cap,IE00BF4RFH31,IE00BF4RFH31,8.047885,4.9391,39.75,Jane Street,IP00839191,iShares MSCI World Small Cap / ISIN Buy 8.047885 £4.9391 £39.75 06/11/23 08/11/23 Jane Street IE00BF4RFH31 14:55:38 Financial
2023-11-06,2023-11-08,BUY,iShares Core UK Gilts,IE00B1FZSB30,IE00B1FZSB30,1.996008,10.0199,20.0,Jane Street,IP00839191,iShares Core UK Gilts / ISIN Buy 1.996008 £10.0199 £20.00 06/11/23 08/11/23 Jane Street IE00B1FZSB30 14:56:13 Financial
2023-11-06,2023-11-08,BUY,Vanguard Global Aggregate Bonds,IE00BG47K971,IE00BG47K971,1.318867,22.7467,30.0,Jane Street,IP00839191,Vanguard Global Aggregate Bonds / ISIN Buy 1.318867 £22.7467 £30.00 06/11/23 08/11/23 Jane Street IE00BG47K971 14:56:43 Financial
2023-11-06,2023-11-08,BUY,Vanguard FTSE Emerging Markets,IE00BK5BR733,IE00BK5BR733,0.928215,43.0934,40.0,Winterflood,IP00839191,Vanguard FTSE Emerging Markets / ISIN Buy 0.928215 £43.0934 £40.00 06/11/23 08/11/23 Winterflood IE00BK5BR733 14:56:49
2023-11-06,2023-11-08,BUY,Xtrackers S&P 500,IE00BM67HX07,IE00BM67HX07,500.0,71.8475,69.91,Winterflood,IP00839191,Xtrackers S&P 500 / ISIN IE00BM67HX07 Buy 0.973033 £71.8475 £69.91 06/11/23 08/11/23 Winterflood 15:01:07
2023-11-27,2023-11-29,BUY,Vanguard Global Aggregate Bonds,IE00BG47K971,IE00BG47K971,1.301993,23.08,30.05,Jane Street,IP00839191,Vanguard Global Aggregate Bonds / ISIN Buy 1.301993 £23.0800 £30.05 27/11/23 29/11/23 Jane Street IE00BG47K971 15:02:03 Financial
2023-11-27,2023-11-29,BUY,iShares Core UK Gilts,IE00B1FZSB30,IE00B1FZSB30,2.002996,10.0149,20.06,Winterflood,IP00839191,iShares Core UK Gilts / ISIN Buy 2.002996 £10.0149 £20.06 27/11/23 29/11/23 Winterflood IE00B1FZSB30 15:02:52
2023-11-27,2023-11-29,BUY,iShares MSCI World Small Cap,IE00BF4RFH31,IE00BF4RFH31,7.97849,5.021,40.06,Winterflood,IP00839191,iShares MSCI World Small Cap / ISIN Buy 7.978490 £5.0210 £40.06 27/11/23 29/11/23 Winterflood IE00BF4RFH31 15:03:06
2023-11-27,2023-11-29,BUY,Vanguard FTSE Emerging Markets,IE00BK5BR733,IE00BK5BR733,0.93478,42.855,40.06,Winterflood,IP00839191,Vanguard FTSE Emerging Markets / ISIN Buy 0.934780 £42.8550 £40.06 27/11/23 29/11/23 Winterflood IE00BK5BR733 15:03:15
2023-11-27,2023-11-29,BUY,Xtrackers S&P 500,IE00BM67HX07,IE00BM67HX07,500.0,74.9499,70.11,Winterflood,IP00839191,Xtrackers S&P 500 / ISIN IE00BM67HX07 Buy 0.935424 £74.9499 £70.11 27/11/23 29/11/23 Winterflood 15:07:52
2023-12-27,2023-12-29,BUY,Xtrackers S&P 500,IE00BM67HX07,IE00BM67HX07,500.0,78.7599,70.1,Winterflood,IP00839191,Xtrackers S&P 500 / ISIN IE00BM67HX07 Buy 0.890046 £78.7599 £70.10 27/12/23 29/12/23 Winterflood 15:10:39
2023-12-27,2023-12-29,BUY,Vanguard Global Aggregate Bonds,IE00BG47K971,IE00BG47K971,1.245047,24.1276,30.04,Vanguard Global,IP00839191,Vanguard Global Aggregate Bonds / ISIN Buy 1.245047 £24.1276 £30.04 27/12/23 29/12/23 Flow Traders IE00BG47K971 15:10:58
2023-12-27,2023-12-29,BUY,iShares MSCI World Small Cap,IE00BF4RFH31,IE00BF4RFH31,7.239435,5.5321,40.05,Winterflood,IP00839191,iShares MSCI World Small Cap / ISIN Buy 7.239435 £5.5321 £40.05 27/12/23 29/12/23 Winterflood IE00BF4RFH31 15:11:47
2023-12-27,2023-12-29,BUY,iShares Core UK Gilts,IE00B1FZSB30,IE00B1FZSB30,1.877561,10.6627,20.02,Winterflood,IP00839191,iShares Core UK Gilts / ISIN Buy 1.877561 £10.6627 £20.02 27/12/23 29/12/23 Winterflood IE00B1FZSB30 15:11:57
2023-12-27,2023-12-29,BUY,Vanguard FTSE Emerging Markets,IE00BK5BR733,IE00BK5BR733,0.915418,43.7505,40.05,Emerging Markets,IP00839191,Vanguard FTSE Emerging Markets / ISIN Buy 0.915418 £43.7505 £40.05 27/12/23 29/12/23 PEEL IE00BK5BR733 15:12:35
2024-01-26,2024-01-30,BUY,iShares Core UK Gilts,IE00B1FZSB30,IE00B1FZSB30,1.957707,10.2109,19.99,Winterflood,IP00839191,iShares Core UK Gilts / ISIN Buy 1.957707 £10.2109 £19.99 26/01/24 30/01/24 Winterflood IE00B1FZSB30 15:03:56
2024-01-26,2024-01-30,BUY,Xtrackers S&P 500,IE00BM67HX07,IE00BM67HX07,500.0,80.5984,70.0,Winterflood,IP00839191,Xtrackers S&P 500 / ISIN IE00BM67HX07 Buy 0.868503 £80.5984 £70.00 26/01/24 30/01/24 Winterflood 15:05:39
2024-01-26,2024-01-30,BUY,Vanguard Global Aggregate Bonds,IE00BG47K971,IE00BG47K971,1.261564,23.772,29.99,Winterflood,IP00839191,Vanguard Global Aggregate Bonds / ISIN Buy 1.261564 £23.7720 £29.99 26/01/24 30/01/24 Winterflood IE00BG47K971 15:07:03
2024-01-26,2024-01-30,BUY,iShares MSCI World Small Cap,IE00BF4RFH31,IE00BF4RFH31,7.427351,5.3814,39.97,Winterflood,IP00839191,iShares MSCI World Small Cap / ISIN Buy 7.427351 £5.3814 £39.97 26/01/24 30/01/24 Winterflood IE00BF4RFH31 15:07:03
2024-01-26,2024-01-30,BUY,Vanguard FTSE Emerging Markets,IE00BK5BR733,IE00BK5BR733,0.926277,43.1836,40.0,Winterflood,IP00839191,Vanguard FTSE Emerging Markets / ISIN Buy 0.926277 £43.1836 £40.00 26/01/24 30/01/24 Winterflood IE00BK5BR733 15:07:13
2024-02-26,2024-02-28,BUY,iShares Core UK Gilts,IE00B1FZSB30,IE00B1FZSB30,1.960602,10.2111,20.02,Winterflood,IP00839191,iShares Core UK Gilts / ISIN Buy 1.960602 £10.2111 £20.02 26/02/24 28/02/24 Winterflood IE00B1FZSB30 15:05:32
2024-02-26,2024-02-28,BUY,Vanguard Global Aggregate Bonds,IE00BG47K971,IE00BG47K971,1.264111,23.732,30.0,Winterflood,IP00839191,Vanguard Global Aggregate Bonds / ISIN Buy 1.264111 £23.7320 £30.00 26/02/24 28/02/24 Winterflood IE00BG47K971 15:05:32
2024-02-26,2024-02-28,BUY,Xtrackers S&P 500,IE00BM67HX07,IE00BM67HX07,500.0,84.0019,69.93,Winterflood,IP00839191,Xtrackers S&P 500 / ISIN IE00BM67HX07 Buy 0.832481 £84.0019 £69.93 26/02/24 28/02/24 Winterflood 15:05:33
2024-02-26,2024-02-28,BUY,iShares MSCI World Small Cap,IE00BF4RFH31,IE00BF4RFH31,7.267938,5.505,40.01,Winterflood,IP00839191,iShares MSCI World Small Cap / ISIN Buy 7.267938 £5.5050 £40.01 26/02/24 28/02/24 Winterflood IE00BF4RFH31 15:06:17
