date,settlement_date,action,fund_name,isin,symbol,quantity,price,amount,broker,portfolio_reference,raw_line
2023-09-04,2023-09-06,BUY,Invesco FTSE 100,IE00B60SWT88,IE00B60SWT88,100.0,75.4134,0.83,Winterflood,IP00465009,Invesco FTSE 100 / ISIN IE00B60SWT88 Buy 0.011006 £75.4134 £0.83 04/09/23 06/09/23 Winterflood 13:53:57
2023-09-04,2023-09-06,BUY,Unknown Fund,IE00BMW42637,IE00BMW42637,0.139748,8.8731,1.24,Winterflood,IP00465009,iShares MSCI Europe Energy Sector / Buy 0.139748 £8.8731 £1.24 04/09/23 06/09/23 Winterflood ISIN IE00BMW42637 13:54:56
2023-09-04,2023-09-06,BUY,L&G Healthcare Breakthrough,IE00BK5BC677,IE00BK5BC677,0.089161,9.309,0.83,Winterflood,IP00465009,L&G Healthcare Breakthrough / ISIN Buy 0.089161 £9.3090 £0.83 04/09/23 06/09/23 Winterflood IE00BK5BC677 13:55:00
2023-09-04,2023-09-06,BUY,SPDR Russell 2000,IE00BJ38QD84,IE00BJ38QD84,2000.0,43.0022,2.49,Winterflood,IP00465009,SPDR Russell 2000 / ISIN IE00BJ38QD84 Buy 0.057904 £43.0022 £2.49 04/09/23 06/09/23 Winterflood 13:55:17
2023-09-04,2023-09-06,BUY,Pimco US Short High-Yield Corporate Buy 0.094933 £8.7430 £0.83 04/09/23 06/09/23 Winterflood Bonds,IE00BYXVWC37,IE00BYXVWC37,0.094933,8.743,0.83,Winterflood,IP00465009,Pimco US Short High-Yield Corporate Buy 0.094933 £8.7430 £0.83 04/09/23 06/09/23 Winterflood Bonds / ISIN IE00BYXVWC37 13:57:12
2023-09-04,2023-09-06,BUY,iShares Automation and Robotics,IE00BYZK4552,IE00BYZK4552,0.090127,9.2092,0.83,Winterflood,IP00465009,iShares Automation and Robotics / ISIN Buy 0.090127 £9.2092 £0.83 04/09/23 06/09/23 Winterflood IE00BYZK4552 13:57:18
2023-09-04,2023-09-06,BUY,iShares Physical Gold,IE00B4ND3602,IE00B4ND3602,0.028449,29.878,0.85,Winterflood,IP00465009,iShares Physical Gold / ISIN Buy 0.028449 £29.8780 £0.85 04/09/23 06/09/23 Winterflood IE00B4ND3602 13:58:00
2023-09-12,2023-09-14,BUY,Pimco US Short High-Yield Corporate Buy 0.036692 £8.7212 £0.32 12/09/23 14/09/23 Jane Street Bonds,IE00BYXVWC37,IE00BYXVWC37,0.036692,8.7212,0.32,Jane Street,IP00465009,Pimco US Short High-Yield Corporate Buy 0.036692 £8.7212 £0.32 12/09/23 14/09/23 Jane Street Bonds / ISIN IE00BYXVWC37 13:49:31 Financial
2023-09-12,2023-09-14,BUY,Invesco FTSE 100,IE00B60SWT88,IE00B60SWT88,100.0,75.9734,0.32,Jane Street,IP00465009,Invesco FTSE 100 / ISIN IE00B60SWT88 Buy 0.004212 £75.9734 £0.32 12/09/23 14/09/23 Jane Street 13:49:35 Financial
2023-09-12,2023-09-14,BUY,L&G Healthcare Breakthrough,IE00BK5BC677,IE00BK5BC677,0.035445,9.028,0.32,Jane Street,IP00465009,L&G Healthcare Breakthrough / ISIN Buy 0.035445 £9.0280 £0.32 12/09/23 14/09/23 Jane Street IE00BK5BC677 13:50:52 Financial
2023-09-12,2023-09-14,BUY,SPDR Russell 2000,IE00BJ38QD84,IE00BJ38QD84,2000.0,42.4534,0.96,Winterflood,IP00465009,SPDR Russell 2000 / ISIN IE00BJ38QD84 Buy 0.022613 £42.4534 £0.96 12/09/23 14/09/23 Winterflood 13:51:02
2023-09-12,2023-09-14,BUY,Unknown Fund,IE00BMW42637,IE00BMW42637,0.052153,9.2036,0.48,Jane Street,IP00465009,iShares MSCI Europe Energy Sector / Buy 0.052153 £9.2036 £0.48 12/09/23 14/09/23 Jane Street ISIN IE00BMW42637 13:51:16 Financial
2023-09-12,2023-09-14,BUY,iShares Automation and Robotics,IE00BYZK4552,IE00BYZK4552,0.035149,9.104,0.32,Winterflood,IP00465009,iShares Automation and Robotics / ISIN Buy 0.035149 £9.1040 £0.32 12/09/23 14/09/23 Winterflood IE00BYZK4552 13:52:08
2023-09-12,2023-09-14,BUY,iShares Physical Gold,IE00B4ND3602,IE00B4ND3602,0.011065,29.8237,0.33,Shares Physical,IP00465009,iShares Physical Gold / ISIN Buy 0.011065 £29.8237 £0.33 12/09/23 14/09/23 Flow Traders IE00B4ND3602 13:52:58
2023-10-03,2023-10-05,BUY,Unknown Fund,IE00BMW42637,IE00BMW42637,0.184926,9.2469,1.71,Jane Street,IP00465009,iShares MSCI Europe Energy Sector / Buy 0.184926 £9.2469 £1.71 03/10/23 05/10/23 Jane Street ISIN IE00BMW42637 13:55:46 Financial
2023-10-03,2023-10-05,BUY,L&G Healthcare Breakthrough,IE00BK5BC677,IE00BK5BC677,0.133702,8.5264,1.14,Jane Street,IP00465009,L&G Healthcare Breakthrough / ISIN Buy 0.133702 £8.5264 £1.14 03/10/23 05/10/23 Jane Street IE00BK5BC677 13:57:23 Financial
2023-10-03,2023-10-05,BUY,Pimco US Short High-Yield Corporate Buy 0.132906 £8.5774 £1.14 03/10/23 05/10/23 Winterflood Bonds,IE00BYXVWC37,IE00BYXVWC37,0.132906,8.5774,1.14,Winterflood,IP00465009,Pimco US Short High-Yield Corporate Buy 0.132906 £8.5774 £1.14 03/10/23 05/10/23 Winterflood Bonds / ISIN IE00BYXVWC37 13:57:35
2023-10-03,2023-10-05,BUY,Invesco FTSE 100,IE00B60SWT88,IE00B60SWT88,100.0,75.7777,1.14,Winterflood,IP00465009,Invesco FTSE 100 / ISIN IE00B60SWT88 Buy 0.015044 £75.7777 £1.14 03/10/23 05/10/23 Winterflood 13:57:54
2023-10-03,2023-10-05,BUY,iShares Automation and Robotics,IE00BYZK4552,IE00BYZK4552,0.125932,8.973,1.13,Winterflood,IP00465009,iShares Automation and Robotics / ISIN Buy 0.125932 £8.9730 £1.13 03/10/23 05/10/23 Winterflood IE00BYZK4552 13:58:42
2023-10-03,2023-10-05,BUY,SPDR Russell 2000,IE00BJ38QD84,IE00BJ38QD84,2000.0,41.0932,3.41,Winterflood,IP00465009,SPDR Russell 2000 / ISIN IE00BJ38QD84 Buy 0.082982 £41.0932 £3.41 03/10/23 05/10/23 Winterflood 13:58:48
2023-10-03,2023-10-05,BUY,iShares Physical Gold,IE00B4ND3602,IE00B4ND3602,0.040777,29.4283,1.2,Shares Physical,IP00465009,iShares Physical Gold / ISIN Buy 0.040777 £29.4283 £1.20 03/10/23 05/10/23 Flow Traders IE00B4ND3602 13:59:12
2023-10-10,2023-10-12,BUY,Invesco FTSE 100,IE00B60SWT88,IE00B60SWT88,100.0,76.8693,0.44,Counterparty,IP00465009,Invesco FTSE 100 / ISIN IE00B60SWT88 Buy 0.005724 £76.8693 £0.44 10/10/23 12/10/23 Internal 13:49:54 Counterparty
2023-10-10,2023-10-12,BUY,Pimco US Short High-Yield Corporate Buy 0.051244 £8.5863 £0.44 10/10/23 12/10/23 Winterflood Bonds,IE00BYXVWC37,IE00BYXVWC37,0.051244,8.5863,0.44,Winterflood,IP00465009,Pimco US Short High-Yield Corporate Buy 0.051244 £8.5863 £0.44 10/10/23 12/10/23 Winterflood Bonds / ISIN IE00BYXVWC37 13:51:12
2023-10-10,2023-10-12,BUY,SPDR Russell 2000,IE00BJ38QD84,IE00BJ38QD84,2000.0,41.0925,1.33,Winterflood,IP00465009,SPDR Russell 2000 / ISIN IE00BJ38QD84 Buy 0.032366 £41.0925 £1.33 10/10/23 12/10/23 Winterflood 13:51:40
2023-10-10,2023-10-12,BUY,L&G Healthcare Breakthrough,IE00BK5BC677,IE00BK5BC677,0.052575,8.3689,0.44,Winterflood,IP00465009,L&G Healthcare Breakthrough / ISIN Buy 0.052575 £8.3689 £0.44 10/10/23 12/10/23 Winterflood IE00BK5BC677 13:51:41
2023-10-10,2023-10-12,BUY,Unknown Fund,IE00BMW42637,IE00BMW42637,0.069923,9.4389,0.66,Winterflood,IP00465009,iShares MSCI Europe Energy Sector / Buy 0.069923 £9.4389 £0.66 10/10/23 12/10/23 Winterflood ISIN IE00BMW42637 13:51:58
2023-10-10,2023-10-12,BUY,iShares Automation and Robotics,IE00BYZK4552,IE00BYZK4552,0.048708,9.0334,0.44,Winterflood,IP00465009,iShares Automation and Robotics / ISIN Buy 0.048708 £9.0334 £0.44 10/10/23 12/10/23 Winterflood IE00BYZK4552 13:52:21
2023-10-10,2023-10-12,BUY,iShares Physical Gold,IE00B4ND3602,IE00B4ND3602,0.016274,29.4948,0.48,Shares Physical,IP00465009,iShares Physical Gold / ISIN Buy 0.016274 £29.4948 £0.48 10/10/23 12/10/23 Flow Traders IE00B4ND3602 13:52:54
2023-11-03,2023-11-07,BUY,L&G Healthcare Breakthrough,IE00BK5BC677,IE00BK5BC677,0.120452,7.9699,0.96,Jane Street,IP00465009,L&G Healthcare Breakthrough / ISIN Buy 0.120452 £7.9699 £0.96 03/11/23 07/11/23 Jane Street IE00BK5BC677 14:45:58 Financial
2023-11-03,2023-11-07,BUY,Invesco FTSE 100,IE00B60SWT88,IE00B60SWT88,100.0,74.8246,0.96,Winterflood,IP00465009,Invesco FTSE 100 / ISIN IE00B60SWT88 Buy 0.012830 £74.8246 £0.96 03/11/23 07/11/23 Winterflood 14:46:10
2023-11-03,2023-11-07,BUY,SPDR Russell 2000,IE00BJ38QD84,IE00BJ38QD84,2000.0,40.4949,2.89,Winterflood,IP00465009,SPDR Russell 2000 / ISIN IE00BJ38QD84 Buy 0.071367 £40.4949 £2.89 03/11/23 07/11/23 Winterflood 14:47:38
2023-11-03,2023-11-07,BUY,iShares Automation and Robotics,IE00BYZK4552,IE00BYZK4552,0.109636,8.7562,0.96,Winterflood,IP00465009,iShares Automation and Robotics / ISIN Buy 0.109636 £8.7562 £0.96 03/11/23 07/11/23 Winterflood IE00BYZK4552 14:47:49
2023-11-03,2023-11-07,BUY,Pimco US Short High-Yield Corporate Buy 0.110989 £8.6495 £0.96 03/11/23 07/11/23 Jane Street Bonds,IE00BYXVWC37,IE00BYXVWC37,0.110989,8.6495,0.96,Jane Street,IP00465009,Pimco US Short High-Yield Corporate Buy 0.110989 £8.6495 £0.96 03/11/23 07/11/23 Jane Street Bonds / ISIN IE00BYXVWC37 14:48:08 Financial
